,YEAR,MONTH,DAY,TIME_PST,FLAG_DAY_TIME,SURF_TEMP_C,FLAG_TEMP
250,1975,9,8,NaN,NaN,11.8,NaN
251,1975,9,9,NaN,NaN,12.0,NaN
252,1975,9,10,NaN,NaN,12.0,NaN
253,1975,9,11,NaN,NaN,NaN,NaN
254,1975,9,12,NaN,NaN,13.0,NaN
255,1975,9,13,NaN,NaN,12.5,NaN
256,1975,9,14,NaN,NaN,13.0,NaN
257,1975,9,15,NaN,NaN,12.0,NaN
258,1975,9,16,NaN,NaN,12.0,NaN
259,1975,9,17,NaN,NaN,12.0,NaN
260,1975,9,18,NaN,NaN,NaN,NaN
261,1975,9,19,NaN,NaN,13.0,NaN
262,1975,9,20,NaN,NaN,12.0,NaN
263,1975,9,21,NaN,NaN,11.2,NaN
264,1975,9,22,NaN,NaN,13.0,NaN
265,1975,9,23,NaN,NaN,12.0,NaN
266,1975,9,24,NaN,NaN,12.0,NaN
267,1975,9,25,NaN,NaN,11.0,NaN
268,1975,9,26,NaN,NaN,11.0,NaN
269,1975,9,27,NaN,NaN,11.5,NaN
270,1975,9,28,NaN,NaN,12.4,NaN
271,1975,9,29,NaN,NaN,10.5,NaN
272,1975,9,30,NaN,NaN,11.0,NaN
273,1975,10,1,NaN,NaN,11.0,NaN
274,1975,10,2,NaN,NaN,11.0,NaN
275,1975,10,3,NaN,NaN,12.5,NaN
276,1975,10,4,NaN,NaN,12.3,NaN
277,1975,10,5,NaN,NaN,12.0,NaN
278,1975,10,6,NaN,NaN,11.5,NaN
279,1975,10,7,NaN,NaN,11.0,NaN
280,1975,10,8,NaN,NaN,NaN,NaN
281,1975,10,9,NaN,NaN,12.0,NaN
282,1975,10,10,NaN,NaN,12.0,NaN
283,1975,10,11,NaN,NaN,NaN,NaN
284,1975,10,12,NaN,NaN,NaN,NaN
285,1975,10,13,NaN,NaN,NaN,NaN
286,1975,10,14,NaN,NaN,13.0,NaN
287,1975,10,15,NaN,NaN,12.0,NaN
288,1975,10,16,NaN,NaN,13.0,NaN
289,1975,10,17,NaN,NaN,12.5,NaN
290,1975,10,18,NaN,NaN,NaN,NaN
291,1975,10,19,NaN,NaN,12.0,NaN
292,1975,10,20,NaN,NaN,NaN,NaN
293,1975,10,21,NaN,NaN,13.0,NaN
294,1975,10,22,NaN,NaN,NaN,NaN
295,1975,10,23,NaN,NaN,11.0,NaN
296,1975,10,24,NaN,NaN,11.0,NaN
297,1975,10,25,NaN,NaN,NaN,NaN
298,1975,10,26,NaN,NaN,11.0,NaN
299,1975,10,27,NaN,NaN,10.5,NaN
300,1975,10,28,NaN,NaN,11.5,NaN
301,1975,10,29,NaN,NaN,11.0,NaN
302,1975,10,30,NaN,NaN,11.0,NaN
303,1975,10,31,NaN,NaN,11.5,NaN
304,1975,11,1,NaN,NaN,12.0,NaN
305,1975,11,2,NaN,NaN,12.0,NaN
306,1975,11,3,NaN,NaN,NaN,NaN
307,1975,11,4,NaN,NaN,11.5,NaN
308,1975,11,5,NaN,NaN,11.0,NaN
309,1975,11,6,NaN,NaN,11.0,NaN
310,1975,11,7,NaN,NaN,11.0,NaN
311,1975,11,8,NaN,NaN,11.0,NaN
312,1975,11,9,NaN,NaN,10.5,NaN
313,1975,11,10,NaN,NaN,11.0,NaN
314,1975,11,11,NaN,NaN,11.8,NaN
315,1975,11,12,NaN,NaN,11.5,NaN
316,1975,11,13,NaN,NaN,11.8,NaN
317,1975,11,14,NaN,NaN,11.0,NaN
318,1975,11,15,NaN,NaN,12.0,NaN
319,1975,11,16,NaN,NaN,11.5,NaN
320,1975,11,17,NaN,NaN,NaN,NaN
321,1975,11,18,NaN,NaN,11.0,NaN
322,1975,11,19,NaN,NaN,11.5,NaN
323,1975,11,20,NaN,NaN,11.0,NaN
324,1975,11,21,NaN,NaN,11.0,NaN
325,1975,11,22,NaN,NaN,11.0,NaN
326,1975,11,23,NaN,NaN,NaN,NaN
327,1975,11,24,NaN,NaN,NaN,NaN
328,1975,11,25,NaN,NaN,NaN,NaN
329,1975,11,26,NaN,NaN,9.8,NaN
330,1975,11,27,NaN,NaN,NaN,NaN
331,1975,11,28,NaN,NaN,NaN,NaN
332,1975,11,29,NaN,NaN,NaN,NaN
333,1975,11,30,NaN,NaN,8.5,NaN
334,1975,12,1,NaN,NaN,9.0,NaN
335,1975,12,2,NaN,NaN,9.0,NaN
336,1975,12,3,NaN,NaN,NaN,NaN
337,1975,12,4,NaN,NaN,11.0,NaN
338,1975,12,5,NaN,NaN,NaN,NaN
339,1975,12,6,NaN,NaN,11.0,NaN
340,1975,12,7,NaN,NaN,NaN,NaN
341,1975,12,8,NaN,NaN,10.8,NaN
342,1975,12,9,NaN,NaN,10.0,NaN
343,1975,12,10,NaN,NaN,10.0,NaN
344,1975,12,11,NaN,NaN,10.0,NaN
345,1975,12,12,NaN,NaN,9.5,NaN
346,1975,12,13,NaN,NaN,NaN,NaN
347,1975,12,14,NaN,NaN,NaN,NaN
348,1975,12,15,NaN,NaN,9.0,NaN
349,1975,12,16,NaN,NaN,9.0,NaN
350,1975,12,17,NaN,NaN,8.8,NaN
351,1975,12,18,NaN,NaN,NaN,NaN
352,1975,12,19,NaN,NaN,NaN,NaN
353,1975,12,20,NaN,NaN,NaN,NaN
354,1975,12,21,NaN,NaN,9.2,NaN
355,1975,12,22,NaN,NaN,NaN,NaN
356,1975,12,23,NaN,NaN,NaN,NaN
357,1975,12,24,NaN,NaN,NaN,NaN
358,1975,12,25,NaN,NaN,NaN,NaN
359,1975,12,26,NaN,NaN,NaN,NaN
360,1975,12,27,NaN,NaN,NaN,NaN
361,1975,12,28,NaN,NaN,NaN,NaN
362,1975,12,29,NaN,NaN,10.0,NaN
363,1975,12,30,NaN,NaN,9.5,NaN
364,1975,12,31,NaN,NaN,9.0,NaN
365,1976,1,1,NaN,NaN,NaN,NaN
366,1976,1,2,NaN,NaN,9.0,NaN
367,1976,1,3,NaN,NaN,9.0,NaN
368,1976,1,4,NaN,NaN,NaN,NaN
369,1976,1,5,NaN,NaN,9.0,NaN
370,1976,1,6,NaN,NaN,9.0,NaN
371,1976,1,7,NaN,NaN,9.0,NaN
372,1976,1,8,NaN,NaN,9.0,NaN
373,1976,1,9,NaN,NaN,9.0,NaN
374,1976,1,10,NaN,NaN,9.3,NaN
375,1976,1,11,NaN,NaN,NaN,NaN
376,1976,1,12,NaN,NaN,9.3,NaN
377,1976,1,13,NaN,NaN,10.0,NaN
378,1976,1,14,NaN,NaN,10.0,NaN
379,1976,1,15,NaN,NaN,10.0,NaN
380,1976,1,16,NaN,NaN,9.5,NaN
381,1976,1,17,NaN,NaN,9.5,NaN
382,1976,1,18,NaN,NaN,NaN,NaN
383,1976,1,19,NaN,NaN,9.8,NaN
384,1976,1,20,NaN,NaN,9.5,NaN
385,1976,1,21,NaN,NaN,9.5,NaN
386,1976,1,22,NaN,NaN,9.5,NaN
387,1976,1,23,NaN,NaN,9.3,NaN
388,1976,1,24,NaN,NaN,9.5,NaN
389,1976,1,25,NaN,NaN,NaN,NaN
390,1976,1,26,NaN,NaN,9.5,NaN
391,1976,1,27,NaN,NaN,9.3,NaN
392,1976,1,28,NaN,NaN,9.1,NaN
393,1976,1,29,NaN,NaN,9.5,NaN
394,1976,1,30,NaN,NaN,9.5,NaN
395,1976,1,31,NaN,NaN,9.0,NaN
396,1976,2,1,NaN,NaN,NaN,NaN
397,1976,2,2,NaN,NaN,9.2,NaN
398,1976,2,3,NaN,NaN,9.0,NaN
399,1976,2,4,NaN,NaN,8.1,NaN
400,1976,2,5,NaN,NaN,8.1,NaN
401,1976,2,6,NaN,NaN,8.8,NaN
402,1976,2,7,NaN,NaN,9.0,NaN
403,1976,2,8,NaN,NaN,NaN,NaN
404,1976,2,9,NaN,NaN,9.0,NaN
405,1976,2,10,NaN,NaN,8.7,NaN
406,1976,2,11,NaN,NaN,8.9,NaN
407,1976,2,12,NaN,NaN,9.1,NaN
408,1976,2,13,NaN,NaN,9.3,NaN
409,1976,2,14,NaN,NaN,NaN,NaN
410,1976,2,15,NaN,NaN,NaN,NaN
411,1976,2,16,NaN,NaN,10.0,NaN
412,1976,2,17,NaN,NaN,10.0,NaN
413,1976,2,18,NaN,NaN,9.9,NaN
414,1976,2,19,NaN,NaN,NaN,NaN
415,1976,2,20,NaN,NaN,NaN,NaN
416,1976,2,21,NaN,NaN,10.3,NaN
417,1976,2,22,NaN,NaN,10.2,NaN
418,1976,2,23,NaN,NaN,10.0,NaN
419,1976,2,24,NaN,NaN,9.9,NaN
420,1976,2,25,NaN,NaN,10.5,NaN
421,1976,2,26,NaN,NaN,NaN,NaN
422,1976,2,27,NaN,NaN,NaN,NaN
423,1976,2,28,NaN,NaN,NaN,NaN
424,1976,2,29,NaN,NaN,NaN,NaN
425,1976,3,1,NaN,NaN,9.0,NaN
426,1976,3,2,NaN,NaN,9.4,NaN
427,1976,3,3,NaN,NaN,9.1,NaN
428,1976,3,4,NaN,NaN,9.8,NaN
429,1976,3,5,NaN,NaN,11.0,NaN
430,1976,3,6,NaN,NaN,NaN,NaN
431,1976,3,7,NaN,NaN,NaN,NaN
432,1976,3,8,NaN,NaN,10.9,NaN
433,1976,3,9,NaN,NaN,10.5,NaN
434,1976,3,10,NaN,NaN,10.3,NaN
435,1976,3,11,NaN,NaN,10.5,NaN
436,1976,3,12,NaN,NaN,9.8,NaN
437,1976,3,13,NaN,NaN,NaN,NaN
438,1976,3,14,NaN,NaN,NaN,NaN
439,1976,3,15,NaN,NaN,10.0,NaN
440,1976,3,16,NaN,NaN,9.5,NaN
441,1976,3,17,NaN,NaN,9.2,NaN
442,1976,3,18,NaN,NaN,9.3,NaN
443,1976,3,19,NaN,NaN,9.0,NaN
444,1976,3,20,NaN,NaN,NaN,NaN
445,1976,3,21,NaN,NaN,NaN,NaN
446,1976,3,22,NaN,NaN,10.0,NaN
447,1976,3,23,NaN,NaN,9.5,NaN
448,1976,3,24,NaN,NaN,9.0,NaN
449,1976,3,25,NaN,NaN,10.0,NaN
450,1976,3,26,NaN,NaN,10.0,NaN
451,1976,3,27,NaN,NaN,NaN,NaN
452,1976,3,28,NaN,NaN,NaN,NaN
453,1976,3,29,NaN,NaN,10.0,NaN
454,1976,3,30,NaN,NaN,8.8,NaN
455,1976,3,31,NaN,NaN,8.1,NaN
456,1976,4,1,NaN,NaN,7.8,NaN
457,1976,4,2,NaN,NaN,8.5,NaN
458,1976,4,3,NaN,NaN,NaN,NaN
459,1976,4,4,NaN,NaN,NaN,NaN
460,1976,4,5,NaN,NaN,8.2,NaN
461,1976,4,6,NaN,NaN,9.0,NaN
462,1976,4,7,NaN,NaN,8.8,NaN
463,1976,4,8,NaN,NaN,8.8,NaN
464,1976,4,9,NaN,NaN,8.4,NaN
465,1976,4,10,NaN,NaN,NaN,NaN
466,1976,4,11,NaN,NaN,NaN,NaN
467,1976,4,12,NaN,NaN,9.8,NaN
468,1976,4,13,NaN,NaN,9.8,NaN
469,1976,4,14,NaN,NaN,9.2,NaN
470,1976,4,15,NaN,NaN,9.0,NaN
471,1976,4,16,NaN,NaN,8.9,NaN
472,1976,4,17,NaN,NaN,NaN,NaN
473,1976,4,18,NaN,NaN,NaN,NaN
474,1976,4,19,NaN,NaN,9.1,NaN
475,1976,4,20,NaN,NaN,9.0,NaN
476,1976,4,21,NaN,NaN,10.0,NaN
477,1976,4,22,NaN,NaN,NaN,NaN
478,1976,4,23,NaN,NaN,NaN,NaN
479,1976,4,24,NaN,NaN,NaN,NaN
480,1976,4,25,NaN,NaN,NaN,NaN
481,1976,4,26,NaN,NaN,NaN,NaN
482,1976,4,27,NaN,NaN,9.9,NaN
483,1976,4,28,NaN,NaN,8.8,NaN
484,1976,4,29,NaN,NaN,9.1,NaN
485,1976,4,30,NaN,NaN,10.8,NaN
486,1976,5,1,NaN,NaN,NaN,NaN
487,1976,5,2,NaN,NaN,NaN,NaN
488,1976,5,3,NaN,NaN,9.9,NaN
489,1976,5,4,NaN,NaN,9.0,NaN
490,1976,5,5,NaN,NaN,9.0,NaN
491,1976,5,6,NaN,NaN,9.0,NaN
492,1976,5,7,NaN,NaN,NaN,NaN
493,1976,5,8,NaN,NaN,NaN,NaN
494,1976,5,9,NaN,NaN,NaN,NaN
495,1976,5,10,NaN,NaN,9.1,NaN
496,1976,5,11,NaN,NaN,10.3,NaN
497,1976,5,12,NaN,NaN,10.8,NaN
498,1976,5,13,NaN,NaN,10.0,NaN
499,1976,5,14,NaN,NaN,NaN,NaN
500,1976,5,15,NaN,NaN,NaN,NaN
501,1976,5,16,NaN,NaN,NaN,NaN
502,1976,5,17,NaN,NaN,9.0,NaN
503,1976,5,18,NaN,NaN,NaN,NaN
504,1976,5,19,NaN,NaN,10.0,NaN
505,1976,5,20,NaN,NaN,11.2,NaN
506,1976,5,21,NaN,NaN,10.0,NaN
507,1976,5,22,NaN,NaN,NaN,NaN
508,1976,5,23,NaN,NaN,NaN,NaN
509,1976,5,24,NaN,NaN,9.9,NaN
510,1976,5,25,NaN,NaN,9.9,NaN
511,1976,5,26,NaN,NaN,9.8,NaN
512,1976,5,27,NaN,NaN,NaN,NaN
513,1976,5,28,NaN,NaN,8.9,NaN
514,1976,5,29,NaN,NaN,NaN,NaN
515,1976,5,30,NaN,NaN,NaN,NaN
516,1976,5,31,NaN,NaN,NaN,NaN
517,1976,6,1,NaN,NaN,9.7,NaN
518,1976,6,2,NaN,NaN,NaN,NaN
519,1976,6,3,NaN,NaN,10.5,NaN
520,1976,6,4,NaN,NaN,NaN,NaN
521,1976,6,5,NaN,NaN,NaN,NaN
522,1976,6,6,NaN,NaN,NaN,NaN
523,1976,6,7,NaN,NaN,9.4,NaN
524,1976,6,8,NaN,NaN,10.8,NaN
525,1976,6,9,NaN,NaN,NaN,NaN
526,1976,6,10,NaN,NaN,NaN,NaN
