,YEAR,MONTH,DAY,TIME_PST,FLAG_DAY_TIME,SURF_TEMP_C,FLAG_TEMP
335,1973,12,3,NaN,NaN,10.7,NaN
336,1973,12,4,NaN,NaN,10.7,NaN
337,1973,12,5,NaN,NaN,10.5,NaN
338,1973,12,6,NaN,NaN,10.9,NaN
339,1973,12,7,NaN,NaN,10.5,NaN
340,1973,12,8,NaN,NaN,10.4,NaN
341,1973,12,9,NaN,NaN,10.5,NaN
342,1973,12,10,NaN,NaN,10.0,NaN
343,1973,12,11,NaN,NaN,10.3,NaN
344,1973,12,12,NaN,NaN,10.4,NaN
345,1973,12,13,NaN,NaN,NaN,NaN
346,1973,12,14,NaN,NaN,10.5,NaN
347,1973,12,15,NaN,NaN,10.7,NaN
348,1973,12,16,NaN,NaN,11.5,NaN
349,1973,12,17,NaN,NaN,10.8,NaN
350,1973,12,18,NaN,NaN,10.8,NaN
351,1973,12,19,NaN,NaN,10.8,NaN
352,1973,12,20,NaN,NaN,10.6,NaN
353,1973,12,21,NaN,NaN,10.3,NaN
354,1973,12,22,NaN,NaN,10.9,NaN
355,1973,12,23,NaN,NaN,NaN,NaN
356,1973,12,24,NaN,NaN,NaN,NaN
357,1973,12,25,NaN,NaN,NaN,NaN
358,1973,12,26,NaN,NaN,NaN,NaN
359,1973,12,27,NaN,NaN,NaN,NaN
360,1973,12,28,NaN,NaN,NaN,NaN
361,1973,12,29,NaN,NaN,NaN,NaN
362,1973,12,30,NaN,NaN,NaN,NaN
363,1973,12,31,NaN,NaN,NaN,NaN
364,1974,1,1,NaN,NaN,NaN,NaN
365,1974,1,2,NaN,NaN,9.7,NaN
366,1974,1,3,NaN,NaN,9.1,NaN
367,1974,1,4,NaN,NaN,9.4,NaN
368,1974,1,5,NaN,NaN,NaN,NaN
369,1974,1,6,NaN,NaN,8.4,NaN
370,1974,1,7,NaN,NaN,NaN,NaN
371,1974,1,8,NaN,NaN,9.5,NaN
372,1974,1,9,NaN,NaN,8.8,NaN
373,1974,1,10,NaN,NaN,8.4,NaN
374,1974,1,11,NaN,NaN,8.6,NaN
375,1974,1,12,NaN,NaN,9.5,NaN
376,1974,1,13,NaN,NaN,10.0,NaN
377,1974,1,14,NaN,NaN,10.4,NaN
378,1974,1,15,NaN,NaN,10.5,NaN
379,1974,1,16,NaN,NaN,NaN,NaN
380,1974,1,17,NaN,NaN,NaN,NaN
381,1974,1,18,NaN,NaN,10.2,NaN
382,1974,1,19,NaN,NaN,10.0,NaN
383,1974,1,20,NaN,NaN,9.5,NaN
384,1974,1,21,NaN,NaN,NaN,NaN
385,1974,1,22,NaN,NaN,9.7,NaN
386,1974,1,23,NaN,NaN,10.0,NaN
387,1974,1,24,NaN,NaN,9.0,NaN
388,1974,1,25,NaN,NaN,9.2,NaN
389,1974,1,26,NaN,NaN,9.5,NaN
390,1974,1,27,NaN,NaN,NaN,NaN
391,1974,1,28,NaN,NaN,9.0,NaN
392,1974,1,29,NaN,NaN,9.5,NaN
393,1974,1,30,NaN,NaN,9.5,NaN
394,1974,1,31,NaN,NaN,10.0,NaN
395,1974,2,1,NaN,NaN,10.3,NaN
396,1974,2,2,NaN,NaN,10.0,NaN
397,1974,2,3,NaN,NaN,9.3,NaN
398,1974,2,4,NaN,NaN,NaN,NaN
399,1974,2,5,NaN,NaN,9.0,NaN
400,1974,2,6,NaN,NaN,8.5,NaN
401,1974,2,7,NaN,NaN,8.5,NaN
402,1974,2,8,NaN,NaN,9.0,NaN
403,1974,2,9,NaN,NaN,8.6,NaN
404,1974,2,10,NaN,NaN,NaN,NaN
405,1974,2,11,NaN,NaN,8.7,NaN
406,1974,2,12,NaN,NaN,8.5,NaN
407,1974,2,13,NaN,NaN,8.7,NaN
408,1974,2,14,NaN,NaN,9.0,NaN
409,1974,2,15,NaN,NaN,8.8,NaN
410,1974,2,16,NaN,NaN,8.6,NaN
411,1974,2,17,NaN,NaN,8.7,NaN
412,1974,2,18,NaN,NaN,NaN,NaN
413,1974,2,19,NaN,NaN,9.0,NaN
414,1974,2,20,NaN,NaN,9.3,NaN
415,1974,2,21,NaN,NaN,9.5,NaN
416,1974,2,22,NaN,NaN,9.5,NaN
417,1974,2,23,NaN,NaN,9.3,NaN
418,1974,2,24,NaN,NaN,9.4,NaN
419,1974,2,25,NaN,NaN,NaN,NaN
420,1974,2,26,NaN,NaN,NaN,NaN
421,1974,2,27,NaN,NaN,8.8,NaN
422,1974,2,28,NaN,NaN,NaN,NaN
423,1974,3,1,NaN,NaN,NaN,NaN
424,1974,3,2,NaN,NaN,8.9,NaN
425,1974,3,3,NaN,NaN,8.7,NaN
426,1974,3,4,NaN,NaN,9.7,NaN
427,1974,3,5,NaN,NaN,9.5,NaN
428,1974,3,6,NaN,NaN,9.0,NaN
429,1974,3,7,NaN,NaN,NaN,NaN
430,1974,3,8,NaN,NaN,8.4,NaN
431,1974,3,9,NaN,NaN,8.2,NaN
432,1974,3,10,NaN,NaN,NaN,NaN
433,1974,3,11,NaN,NaN,9.5,NaN
434,1974,3,12,NaN,NaN,9.4,NaN
435,1974,3,13,NaN,NaN,9.0,NaN
436,1974,3,14,NaN,NaN,9.7,NaN
437,1974,3,15,NaN,NaN,9.7,NaN
438,1974,3,16,NaN,NaN,9.5,NaN
439,1974,3,17,NaN,NaN,10.0,NaN
440,1974,3,18,NaN,NaN,NaN,NaN
441,1974,3,19,NaN,NaN,NaN,NaN
442,1974,3,20,NaN,NaN,10.0,NaN
443,1974,3,21,NaN,NaN,9.7,NaN
444,1974,3,22,NaN,NaN,9.5,NaN
445,1974,3,23,NaN,NaN,9.7,NaN
446,1974,3,24,NaN,NaN,10.4,NaN
447,1974,3,25,NaN,NaN,11.0,NaN
448,1974,3,26,NaN,NaN,11.0,NaN
449,1974,3,27,NaN,NaN,10.0,NaN
450,1974,3,28,NaN,NaN,10.4,NaN
451,1974,3,29,NaN,NaN,10.0,NaN
452,1974,3,30,NaN,NaN,10.2,NaN
453,1974,3,31,NaN,NaN,9.9,NaN
454,1974,4,1,NaN,NaN,11.0,NaN
455,1974,4,2,NaN,NaN,11.0,NaN
456,1974,4,3,NaN,NaN,10.9,NaN
457,1974,4,4,NaN,NaN,12.0,NaN
458,1974,4,5,NaN,NaN,10.5,NaN
459,1974,4,6,NaN,NaN,10.6,NaN
