,DATE,SURF_TEMP_C,YEAR,MONTH,DAY
671,10/7/1958,19.6,1958,10,7
672,10/8/1958,20,1958,10,8
673,10/9/1958,19.8,1958,10,9
674,10/10/1958,19.9,1958,10,10
675,10/11/1958,19.7,1958,10,11
676,10/12/1958,19.4,1958,10,12
677,10/13/1958,18.6,1958,10,13
678,10/14/1958,18.6,1958,10,14
679,10/15/1958,18.1,1958,10,15
680,10/16/1958,18.5,1958,10,16
681,10/17/1958,18.4,1958,10,17
682,10/18/1958,19,1958,10,18
683,10/19/1958,18.9,1958,10,19
684,10/20/1958,19,1958,10,20
685,10/21/1958,19.2,1958,10,21
686,10/22/1958,19.4,1958,10,22
687,10/23/1958,18.6,1958,10,23
688,10/24/1958,18.9,1958,10,24
689,10/25/1958,18.9,1958,10,25
690,10/26/1958,18.8,1958,10,26
691,10/27/1958,19.7,1958,10,27
692,10/28/1958,19.8,1958,10,28
693,10/29/1958,18.2,1958,10,29
694,10/30/1958,18.2,1958,10,30
695,10/31/1958,18.4,1958,10,31
696,11/1/1958,18.5,1958,11,1
697,11/2/1958,18.6,1958,11,2
698,11/3/1958,18.7,1958,11,3
699,11/4/1958,18.5,1958,11,4
700,11/5/1958,18.5,1958,11,5
701,11/6/1958,19,1958,11,6
